"Player","Role","Team","Opponent_Team","Opponent_Player","Date","Round","Day","Patch","Stage","No_Game","all_Games","Format","Game_of_day","Side","Time","Ban","Ban_Opponent","Pick","Pick_Opponent","Champion","Champion_Opponent","Outcome","Kills_Team","Turrets_Team","Dragon_Team","Baron_Team","Level","Kills","Deaths","Assists","KDA","CS","CS in Team's Jungle","CS in Enemy Jungle","CSM","Golds","GPM","GOLD%","Vision Score","Wards placed","Wards destroyed","Control Wards Purchased","Detector Wards Placed","VSPM","WPM","VWPM","WCPM","VS%","Total damage to Champion","Physical Damage","Magic Damage","True Damage","DPM","DMG%","K+A Per Minute","KP%","Solo kills","Double kills","Triple kills","Quadra kills","Penta kills","GD@15","CSD@15","XPD@15","LVLD@15","Objectives Stolen","Damage dealt to turrets","Damage dealt to buildings","Total heal","Total Heals On Teammates","Damage self mitigated","Total Damage Shielded On Teammates","Time ccing others","Total Time CC Dealt","Total damage taken","Total Time Spent Dead","Consumables purchased","Items Purchased","Shutdown bounty collected","Shutdown bounty lost"
"Irrelevant","TOP","SK","TH","Wunder","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Blue","0:26:40","Gragas","Rumble","Tristana","Leona","Gnar","Twisted_Fate","Win","9","9","3","1","15","2","1","3","5","221","12","0","8.3","10735","403","19.9","24","10","4","3","2","0.9","0.38","0.11","0.15","11.2","9248","8440","748","60","347","24","0.19","55.6","0","0","0","0","0","176","-9","528","1","0","4582","4582","4025","0","9432","0","17","361","13153","0","4","16","50","50"
"Isma","JUNGLE","SK","TH","Jankos","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Blue","0:26:40","Azir","Lucian","Zeri","Ivern","Nidalee","Ivern","Win","9","9","3","1","15","2","0","6","Perfect_KDA","200","180","0","7.5","10610","398","19.7","37","7","13","4","4","1.39","0.26","0.15","0.49","17.2","11405","677","9410","1318","428","29.6","0.3","88.9","0","0","0","0","0","503","14","426","1","0","2485","2485","24023","1844","15538","0","8","204","27102","0","5","19","0","0"
"Nisqy","MID","SK","TH","Zwyroo","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Blue","0:26:40","Corki","Sejuani","Gnar","Varus","Tristana","Varus","Win","9","9","3","1","16","3","2","2","2.5","270","24","0","10.1","12819","481","23.8","30","14","4","6","5","1.13","0.53","0.23","0.15","14","9295","7455","1428","412","349","24.1","0.19","55.6","1","0","0","0","0","1072","24","1228","1","0","11572","11572","6266","0","7856","0","4","144","14367","36","8","24","0","100"
"Rahel","ADCARRY","SK","TH","Flakked","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Blue","0:26:40","Malphite","Maokai","Rell","Twisted_Fate","Zeri","Smolder","Win","9","9","3","1","16","2","0","2","Perfect_KDA","322","21","0","12.1","13240","497","24.6","39","11","15","3","3","1.46","0.41","0.11","0.56","18.1","6665","4260","2319","86","250","17.3","0.15","44.4","0","1","0","0","0","864","15","395","1","0","7778","7778","5113","0","4962","0","2","116","8087","0","4","19","0","0"
"Luon","SUPPORT","SK","TH","Trymbi","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Blue","0:26:40","Camille","Braum","Nidalee","Smolder","Rell","Leona","Win","9","9","3","1","10","0","1","7","7","34","0","0","1.3","6498","244","12.1","85","43","17","12","12","3.19","1.61","0.45","0.64","39.5","1928","317","1321","290","72","5","0.26","77.8","0","0","0","0","0","-477","-1","-504","0","0","514","514","205","65","5672","0","13","37","5643","10","14","25","0","0"
"Wunder","TOP","TH","SK","Irrelevant","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Red","0:26:40","Rumble","Gragas","Leona","Tristana","Twisted_Fate","Gnar","Loss","4","0","1","0","14","0","2","1","0.5","237","7","0","8.9","9794","367","22.2","24","9","5","0","0","0.9","0.34","0","0.19","9","6119","2255","3604","260","229","21.7","0.04","25","0","0","0","0","0","-176","9","-528","-1","0","0","0","3880","0","7676","0","13","196","12044","32","1","13","0","0"
"Jankos","JUNGLE","TH","SK","Isma","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Red","0:26:40","Lucian","Azir","Ivern","Zeri","Ivern","Nidalee","Loss","4","0","1","0","12","0","1","4","4","149","126","0","5.6","8231","309","18.6","85","36","19","6","6","3.19","1.35","0.23","0.71","31.8","2854","961","1244","649","107","10.1","0.15","100","0","0","0","0","0","-503","-14","-426","-1","0","0","0","5984","1536","4489","3529","23","139","7583","40","6","23","0","0"
"Zwyroo","MID","TH","SK","Nisqy","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Red","0:26:40","Sejuani","Corki","Varus","Gnar","Varus","Tristana","Loss","4","0","1","0","15","2","3","2","1.3","247","4","0","9.3","9868","370","22.3","40","11","9","4","4","1.5","0.41","0.15","0.34","15","7791","4400","3232","159","292","27.6","0.15","100","0","0","0","0","0","-1072","-24","-1228","-1","0","0","0","2682","0","6845","0","12","180","9642","26","7","20","150","0"
"Flakked","ADCARRY","TH","SK","Rahel","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Red","0:26:40","Maokai","Malphite","Twisted_Fate","Rell","Smolder","Zeri","Loss","4","0","1","0","15","1","1","2","3","297","7","0","11.1","10461","392","23.7","46","16","9","7","7","1.73","0.6","0.26","0.34","17.2","6736","5580","874","282","253","23.9","0.11","75","0","0","0","0","0","-864","-15","-395","-1","0","0","0","2824","0","4432","0","2","183","8312","0","8","21","0","50"
"Trymbi","SUPPORT","TH","SK","Luon","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","2","3","1","Red","0:26:40","Braum","Camille","Smolder","Nidalee","Leona","Rell","Loss","4","0","1","0","9","1","2","3","2","27","0","0","1","5855","220","13.2","72","31","10","5","4","2.7","1.16","0.19","0.38","27","4726","1283","2884","559","177","16.7","0.15","100","0","0","0","0","0","477","1","504","0","0","0","0","932","123","13355","0","24","98","10381","40","7","22","0","0"
